Kids_First_Biospecimen_ID	FOXG1_expression_zscore	OLIG2_expression_zscore	TP73_AS1_expression_zscore
BS_0C7VZC0A	1.2839419317632654	0.7951929288920077	0.5271892692844726
BS_0RQ4P069	-0.8041050931466783	-1.856495198381678	-0.5018744038382532
BS_1D6PZNKN	-0.48066125323894676	0.9822133417167396	-0.8354047947150094
BS_1EBQ3T20	-0.6366679229352137	0.9334696870194986	-0.10932507694540786
BS_23QW0BBA	-0.8041050931466783	1.5844200561418242	-2.432186264056322
BS_29X4ZX6Q	0.5308930235571703	0.4811820360812066	0.5998472173535746
BS_2A162JH9	-0.7977549324489026	0.7076004122802276	0.7507839559496136
BS_2EN3X6HB	-0.8041050931466783	0.10397365988458178	-0.6072645373287797
BS_30VC3R2Q	-0.7914673359278956	1.0634529447961467	-0.12214971784114885
BS_399RPKC9	-0.7852410827898954	0.40647241418185	0.21024531216502593
BS_3MS8WVNR	1.600529325541435	-0.6236226852494484	0.14142989161749267
BS_40MP5BWR	-0.7852410827898954	0.944075272305408	0.9243757624278266
BS_45J79YTF	0.3286444430755532	1.181232524433196	-3.347905552891104
BS_49BQS7Z6	-0.7914673359278956	-0.12651923429775788	0.05457255792526795
BS_49FQXT2E	0.8526259083258414	0.17135605740257812	-0.35070895766535903
BS_52C576HH	1.948013183526652	-0.5765731182292317	0.7578415938813391
BS_52MPKTJH	-0.15159134337183547	-0.05822668690526767	0.3789249438588703
BS_5965SFPZ	-0.7977549324489026	0.3309140827759579	-0.3057668844535574
BS_59ZJWJTF	0.6037803170001946	-1.64888912591376	-0.4286486060665947
BS_5CTVXVRX	-0.8041050931466783	-1.7032304621212069	-1.5080469855798768
BS_5GNQC2FF	-0.8041050931466783	-1.8355698227356918	-0.1328971644864736
BS_6DCSD5Y6	-0.7790749876275835	-0.15760221624047932	0.36877082111001536
BS_6VPKXXMR	1.2460385068808384	-1.100411577361443	-1.2838056417444723
BS_7327SDAQ	-0.720484705592824	1.0008990773751032	0.4890930404446989
BS_7GJT4A6A	-0.8041050931466783	0.5265672145386765	0.43719687873025664
BS_84XCR9GG	1.96046309398456	0.8956974349828091	0.10519468088803591
BS_8MA5B8Y9	0.6672839028832255	-1.5505186927647534	-0.4336173814957872
BS_8ZD6J47V	-0.8041050931466783	1.0634529447961467	-0.21418803953437143
BS_8ZS9F31R	-0.8041050931466783	-1.8253882577340315	-1.5669976784659472
BS_91VYM11A	-0.7669186984698254	-1.2763475832075	-0.47126331638981483
BS_9CA93S6D	-0.7729678990655281	0.17378353308069916	-0.49162097387159515
BS_9RT63JD9	0.6916284188348	0.9482940137218551	-2.432186264056322
BS_9XVACXP0	1.824502511537412	-1.6911419706647126	-0.03603875696307023
BS_A0DYVX9J	0.78172725534264	0.6636876405977907	-4.503919274052784
